PreTimes,PreVals,meanRunTimes,meanRun
"2016-06-05 17:40:00",0.1,"2016-06-05 17:40:56",0
"2016-06-05 17:50:00",3.5,"2016-06-05 17:50:56",0
"2016-06-05 18:00:00",3.2,"2016-06-05 18:00:56",0
"2016-06-05 18:10:00",2.9,"2016-06-05 18:10:56",0.270214634840795
"2016-06-05 18:20:00",2.1,"2016-06-05 18:20:56",0.450851235527582
"2016-06-05 18:30:00",1.2,"2016-06-05 18:30:56",0
"2016-06-05 18:40:00",0.2,"2016-06-05 18:40:56",0
"2016-06-05 18:50:00",0,"2016-06-05 18:50:56",0
"2016-06-05 19:00:00",0.1,"2016-06-05 19:00:56",0
"2016-06-05 19:10:00",0,"2016-06-05 19:10:56",0
"2016-06-05 19:20:00",0.1,"2016-06-05 19:20:56",0
"2016-06-05 19:30:00",0,"2016-06-05 19:30:56",0
"2016-06-05 19:40:00",0.1,"2016-06-05 19:40:56",0
"2016-06-05 19:50:00",0,"2016-06-05 19:50:56",0
"2016-06-05 20:00:00",0,"2016-06-05 20:00:56",0
"2016-06-05 20:10:00",0,"2016-06-05 20:10:56",0
"2016-06-05 20:20:00",0,"2016-06-05 20:20:56",0
"2016-06-05 20:30:00",0,"2016-06-05 20:30:56",0
"2016-06-05 20:40:00",0,"2016-06-05 20:40:56",0
"2016-06-05 20:50:00",0,"2016-06-05 20:50:56",0
"2016-06-05 21:00:00",0,"2016-06-05 21:00:56",0
"2016-06-05 21:10:00",0,"2016-06-05 21:10:56",0
"2016-06-05 21:20:00",0,"2016-06-05 21:20:56",0
"2016-06-05 21:30:00",0,"2016-06-05 21:30:56",0
"2016-06-05 21:40:00",0.1,"2016-06-05 21:40:56",0
"2016-06-05 21:50:00",0,"2016-06-05 21:50:56",0
