PreTimes,PreVals,meanRunTimes,meanRun
"2016-07-09 11:20:00",0.1,"2016-07-09 11:20:00",0
"2016-07-09 11:30:00",1.6,"2016-07-09 11:30:00",0.00886929924696921
"2016-07-09 11:40:00",0,"2016-07-09 11:40:00",0
"2016-07-09 11:50:00",0,"2016-07-09 11:50:00",0
"2016-07-09 12:00:00",0,"2016-07-09 12:00:00",0
"2016-07-09 12:10:00",0,"2016-07-09 12:10:00",0
"2016-07-09 12:20:00",0,"2016-07-09 12:20:00",0
"2016-07-09 12:30:00",0,"2016-07-09 12:30:00",0
"2016-07-09 12:40:00",0,"2016-07-09 12:40:00",0
"2016-07-09 12:50:00",4.3,"2016-07-09 12:50:00",0.248340378915138
"2016-07-09 13:00:00",1.7,"2016-07-09 13:00:00",0.044346496234846
"2016-07-09 13:10:00",6.2,"2016-07-09 13:10:00",0.869191326202982
"2016-07-09 13:20:00",11.8,"2016-07-09 13:20:00",2.5632274823741
"2016-07-09 13:30:00",7.1,"2016-07-09 13:30:00",0.700674640510567
"2016-07-09 13:40:00",3.8,"2016-07-09 13:40:00",0
"2016-07-09 13:50:00",12.8,"2016-07-09 13:50:00",0.851452727709044
"2016-07-09 14:00:00",14.1,"2016-07-09 14:00:00",1.18848609909387
"2016-07-09 14:10:00",9.9,"2016-07-09 14:10:00",0.585373750299968
"2016-07-09 14:20:00",7.7,"2016-07-09 14:20:00",0.461203560842399
"2016-07-09 14:30:00",1.7,"2016-07-09 14:30:00",0
"2016-07-09 14:40:00",0,"2016-07-09 14:40:00",0
