PreTimes,PreVals,meanRunTimes,meanRun
09/06/16 14:30,2.5,09/06/16 14:27,0.247050888695823
09/06/16 14:40,1.7,09/06/16 14:37,0.498411328479759
09/06/16 14:50,1.6,09/06/16 14:47,0
09/06/16 15:00,2,09/06/16 14:57,0.191696664799908
09/06/16 15:10,2.4,09/06/16 15:07,0
09/06/16 15:20,2.1,09/06/16 15:17,0.186848053340019
09/06/16 15:30,1.7,09/06/16 15:27,0.200194342864309
09/06/16 15:40,0.6,09/06/16 15:37,0
09/06/16 15:50,0.6,09/06/16 15:47,0
09/06/16 16:00,1,09/06/16 15:57,0
09/06/16 16:10,3,09/06/16 16:07,0.191696664799908
09/06/16 16:20,4.3,09/06/16 16:17,0.879788605974488
09/06/16 16:30,4.3,09/06/16 16:27,0.765337118965502
09/06/16 16:40,0.3,09/06/16 16:37,0.370613551946485
09/06/16 16:50,0,09/06/16 16:47,0
