PreTimes,PreVals,meanRunTimes,meanRun
"2016-07-01 03:50:00",0.3,"2016-07-01 03:52:44",0.41949213822712
"2016-07-01 04:00:00",0.1,"2016-07-01 04:02:44",0
"2016-07-01 04:10:00",0.4,"2016-07-01 04:12:44",0.174387116842986
"2016-07-01 04:20:00",2.3,"2016-07-01 04:22:44",0
"2016-07-01 04:30:00",0.2,"2016-07-01 04:32:44",0.325864388585292
"2016-07-01 04:40:00",0.3,"2016-07-01 04:42:44",0
"2016-07-01 04:50:00",0.2,"2016-07-01 04:52:44",0
"2016-07-01 05:00:00",0.1,"2016-07-01 05:02:44",0
"2016-07-01 05:10:00",0.1,"2016-07-01 05:12:44",0
"2016-07-01 05:20:00",0.3,"2016-07-01 05:22:44",0
"2016-07-01 05:30:00",0.3,"2016-07-01 05:32:44",0
"2016-07-01 05:40:00",0.2,"2016-07-01 05:42:44",0
"2016-07-01 05:50:00",0,"2016-07-01 05:52:44",0
"2016-07-01 06:00:00",0.1,"2016-07-01 06:02:44",0
"2016-07-01 06:10:00",0,"2016-07-01 06:12:44",0
"2016-07-01 06:20:00",0.1,"2016-07-01 06:22:44",0
"2016-07-01 06:30:00",0.1,"2016-07-01 06:32:44",0
"2016-07-01 06:40:00",0.1,"2016-07-01 06:42:44",0
"2016-07-01 06:50:00",0,"2016-07-01 06:52:44",0
"2016-07-01 07:00:00",0.1,"2016-07-01 07:02:44",0
"2016-07-01 07:10:00",0.1,"2016-07-01 07:12:44",0
"2016-07-01 07:20:00",0.2,"2016-07-01 07:22:44",0
"2016-07-01 07:30:00",0.3,"2016-07-01 07:32:44",0
"2016-07-01 07:40:00",0.4,"2016-07-01 07:42:44",0
"2016-07-01 07:50:00",0.5,"2016-07-01 07:52:44",0
"2016-07-01 08:00:00",0.3,"2016-07-01 08:02:44",0
"2016-07-01 08:10:00",0.1,"2016-07-01 08:12:44",0
"2016-07-01 08:20:00",0.1,"2016-07-01 08:22:44",0
"2016-07-01 08:30:00",0,"2016-07-01 08:32:44",0
"2016-07-01 08:40:00",0.1,"2016-07-01 08:42:44",0
"2016-07-01 08:50:00",0,"2016-07-01 08:52:44",0
