Date,Site,Location,Point,Type,Soil Water Content (g),Gravimetric Water Content (g/g),Dry Bulk Density (g/cm^3),Volumetric Water Content
6/4/16,MAT,Upper,A,spatial ,28.5,0.5599214145,0.4889529299,0.2737752161
6/4/16,MAT,Upper,B,spatial ,29,0.537037037,0.5187319885,0.2785782901
6/4/16,MAT,Upper,C,spatial ,33.6,0.578313253,0.558117195,0.3227665706
6/4/16,MAT,Upper,D,spatial ,35.7,0.5392749245,0.6359269933,0.3429394813
6/4/16,MAT,Middle,A,spatial ,38.6,0.5545977011,0.6685878963,0.3707973103
6/4/16,MAT,Middle,B,spatial ,37.7,0.5974643423,0.6061479347,0.3621517771
6/4/16,MAT,Middle,C,spatial ,25.7,0.7002724796,0.3525456292,0.2468780019
6/4/16,MAT,Middle,D,spatial ,33.6,0.5333333333,0.6051873199,0.3227665706
6/4/16,MAT,Lower,A,spatial ,28.4,0.6325167038,0.4313160423,0.2728146013
6/4/16,MAT,Lower,B,spatial ,34.8,0.5631067961,0.5936599424,0.3342939481
6/4/16,MAT,Lower,C,spatial ,44.5,0.6496350365,0.6580211335,0.4274735831
6/4/16,MAT,Lower,D,spatial ,45.7,0.6329639889,0.6935638809,0.4390009606
6/7/16,PAS,Upper,A,spatial ,34.2,0.5127436282,0.6407300672,0.3285302594
6/7/16,PAS,Upper,B,spatial ,44.7,0.4695378151,0.9145052834,0.4293948127
6/7/16,PAS,Upper,C,spatial ,39.5,0.5330634278,0.711815562,0.3794428434
6/7/16,PAS,Upper,D,spatial ,31.6,0.5096774194,0.595581172,0.3035542747
6/7/16,PAS,Middle,A,spatial ,37.1,0.5061391542,0.7041306436,0.3563880884
6/7/16,PAS,Middle,B,spatial ,48.9,0.5083160083,0.9241114313,0.469740634
6/7/16,PAS,Middle,C,spatial ,43.5,0.5410447761,0.7723342939,0.4178674352
6/7/16,PAS,Middle,D,spatial ,43.8,0.5688311688,0.739673391,0.4207492795
6/7/16,PAS,Lower,A,spatial ,47.2,0.5944584383,0.762728146,0.4534101825
6/7/16,PAS,Lower,B,spatial ,41.5,0.503030303,0.7925072046,0.3986551393
6/7/16,PAS,Lower,C,spatial ,40,0.548696845,0.7002881844,0.3842459174
6/7/16,PAS,Lower,D,spatial ,44.6,0.6084583902,0.7041306436,0.4284341979
6/12/16,MAT,Upper,A,depth,39.8,0.5768115942,0.6628242075,0.3823246878
6/12/16,MAT,Upper,B,depth,31.4,0.5719489982,0.5273775216,0.3016330451
6/12/16,MAT,Upper,C,depth,47.4,0.4610894942,0.9875120077,0.4553314121
6/12/16,MAT,Upper,D,depth,41.9,0.4107843137,0.9798270893,0.4024975985
6/12/16,MAT,Middle,A,depth,40.2,0.5784172662,0.6676272815,0.386167147
6/12/16,MAT,Middle,B,depth,38.7,0.4662650602,0.7973102786,0.3717579251
6/12/16,MAT,Middle,C,depth,44.2,0.4628272251,0.9173871278,0.4245917387
6/12/16,MAT,Middle,D,depth,37.4,0.4479041916,0.8021133525,0.3592699328
6/12/16,MAT,Lower,A,depth,37.5,0.6944444444,0.5187319885,0.3602305476
6/12/16,MAT,Lower,B,depth,35,0.5014326648,0.6705091258,0.3362151777
6/12/16,MAT,Lower,C,depth,37.9,0.486521181,0.7483189241,0.3640730067
6/12/16,MAT,Lower,D,depth,43.1,0.5052754982,0.8194044188,0.414024976
6/15/16,PAS,Upper,A,depth,41.6,0.4319833853,0.9250720461,0.3996157541
6/15/16,PAS,Upper,B,depth,33.3,0.3724832215,0.8587896254,0.3198847262
6/15/16,PAS,Upper,C,depth,27.8,0.3829201102,0.6974063401,0.2670509126
6/15/16,PAS,Upper,D,depth,42.7,0.4227722772,0.9702209414,0.4101825168
6/15/16,PAS,Middle,A,depth,39,0.3876739563,0.9663784822,0.3746397695
6/15/16,PAS,Middle,B,depth,35,0.3808487486,0.8828049952,0.3362151777
6/15/16,PAS,Middle,C,depth,33.4,0.3911007026,0.8203650336,0.320845341
6/15/16,PAS,Middle,D,depth,30.6,0.3829787234,0.76753122,0.2939481268
6/15/16,PAS,Lower,A,depth,38.6,0.4519906323,0.8203650336,0.3707973103
6/15/16,PAS,Lower,B,depth,40.2,0.4040201005,0.9558117195,0.386167147
6/15/16,PAS,Lower,C,depth,39.8,0.40862423,0.9356388088,0.3823246878
6/15/16,PAS,Lower,D,depth,37,0.4436450839,0.8011527378,0.3554274736
6/28/16,PAS,Upper,A,spatial ,35.2,0.4416562108,0.7656099904,0.3381364073
6/28/16,PAS,Upper,B,spatial ,31.7,0.475975976,0.6397694524,0.3045148895
6/28/16,PAS,Upper,C,spatial ,40.6,0.4496124031,0.8674351585,0.3900096061
6/28/16,PAS,Upper,D,spatial ,42.7,0.5113772455,0.8021133525,0.4101825168
6/28/16,PAS,Middle,A,spatial ,43.5,0.4844097996,0.8626320845,0.4178674352
6/28/16,PAS,Middle,B,spatial ,50.6,0.7893915757,0.6157540826,0.4860710855
6/28/16,PAS,Middle,C,spatial ,46.1,0.5872611465,0.7540826129,0.4428434198
6/28/16,PAS,Middle,D,spatial ,38.8,0.4766584767,0.7819404419,0.3727185399
6/28/16,PAS,Lower,A,spatial ,49.4,0.5887961859,0.8059558117,0.474543708
6/28/16,PAS,Lower,B,spatial ,39.3,0.5212201592,0.7243035543,0.3775216138
6/28/16,PAS,Lower,C,spatial ,42.4,0.5158150852,0.7896253602,0.4073006724
6/28/16,PAS,Lower,D,spatial ,36.9,0.5532233883,0.6407300672,0.3544668588
6/30/16,MAT,Upper,A,spatial ,39.7,0.5142487047,0.7415946206,0.381364073
6/30/16,MAT,Upper,B,spatial ,31,0.437235543,0.6810758886,0.297790586
6/30/16,MAT,Upper,C,spatial ,35.1,0.5545023697,0.6080691643,0.3371757925
6/30/16,MAT,Upper,D,spatial ,35.8,0.5143678161,0.6685878963,0.3439000961
6/30/16,MAT,Middle,A,spatial ,45.7,0.620923913,0.707012488,0.4390009606
