Date,Site,Location,Point,Type,Soil Water Content (g),Gravimetric Water Content (g/g),Dry Bulk Density (g/cm^3),Volumetric Water Content,Porosity (%),,,Averages: ,MAT,n,PAS,n
06/04/16,MAT,Upper,A,spatial ,28.5,0.559921415,0.48895293,0.273775216,81.54894604,,,Porosity - hillslope,77.24007516,60,71.16745912,36
06/04/16,MAT,Upper,B,spatial ,29,0.537037037,0.518731989,0.27857829,80.42520796,,,Porosity - 0cm,76.53441598,6,67.40641774,7
06/04/16,MAT,Upper,C,spatial ,33.6,0.578313253,0.558117195,0.322766571,78.93897377,,,Porosity - 10cm,72.84903847,6,68.23498036,7
06/04/16,MAT,Upper,D,spatial ,35.7,0.539274925,0.635926993,0.342939481,76.00275498,,,Porosity - 30 cm,67.80430041,6,69.01693633,7
06/04/16,MAT,Middle,A,spatial ,38.6,0.554597701,0.668587896,0.37079731,74.77026808,,,Porosity - 50 cm,66.61410472,6,70.1096033,7
06/04/16,MAT,Middle,B,spatial ,37.7,0.597464342,0.606147935,0.362151777,77.12649302,,,,,,,
06/04/16,MAT,Middle,C,spatial ,25.7,0.70027248,0.352545629,0.246878002,86.69639136,,,Average For All Surface Vals,76.88724557,66,69.28693843,43
06/04/16,MAT,Middle,D,spatial ,33.6,0.533333333,0.60518732,0.322766571,77.16274264,,,,,,,
06/04/16,MAT,Lower,A,spatial ,28.4,0.632516704,0.431316042,0.272814601,83.72392294,,,,,,,
06/04/16,MAT,Lower,B,spatial ,34.8,0.563106796,0.593659942,0.334293948,77.59773804,,,Averages: ,MAT,n,PAS,n
06/04/16,MAT,Lower,C,spatial ,44.5,0.649635037,0.658021134,0.427473583,75.16901381,,,Bulk Density- hillslope,0.603138008,60,0.764062333,36
06/04/16,MAT,Lower,D,spatial ,45.7,0.632963989,0.693563881,0.439000961,73.82777808,,,Bulk Density - 0cm,0.621837977,6,0.86372993,7
06/07/16,PAS,Upper,A,spatial ,34.2,0.512743628,0.640730067,0.328530259,75.82150691,,,Bulk Density - 10cm,0.719500481,6,0.84177302,7
06/07/16,PAS,Upper,B,spatial ,44.7,0.469537815,0.914505283,0.429394813,65.49036668,,,Bulk Density - 30 cm,0.853186039,6,0.821051187,7
06/07/16,PAS,Upper,C,spatial ,39.5,0.533063428,0.711815562,0.379442843,73.1390354,,,Bulk Density - 50 cm,0.884726225,6,0.792095513,7
06/07/16,PAS,Upper,D,spatial ,31.6,0.509677419,0.595581172,0.303554275,77.52523879,,,,,,,
06/07/16,PAS,Middle,A,spatial ,37.1,0.506139154,0.704130644,0.356388088,73.4290323,,,Average For All Surface Vals,0.612487992,66,0.813896132,43
06/07/16,PAS,Middle,B,spatial ,48.9,0.508316008,0.924111431,0.469740634,65.12787053,,,,,,,
06/07/16,PAS,Middle,C,spatial ,43.5,0.541044776,0.772334294,0.417867435,70.85530966,,,,,,,
06/07/16,PAS,Middle,D,spatial ,43.8,0.568831169,0.739673391,0.42074928,72.08779657,,,,,,,
06/07/16,PAS,Lower,A,spatial ,47.2,0.594458438,0.762728146,0.453410183,71.21780581,,,,,,,
06/07/16,PAS,Lower,B,spatial ,41.5,0.503030303,0.792507205,0.398655139,70.09406774,,,,,,,
06/07/16,PAS,Lower,C,spatial ,40,0.548696845,0.700288184,0.384245917,73.57403079,,,,,,,
06/07/16,PAS,Lower,D,spatial ,44.6,0.60845839,0.704130644,0.428434198,73.4290323,,,,,,,
06/12/16,MAT,Upper,A,depth,39.8,0.576811594,0.662824208,0.382324688,74.98776574,,,,,,,
06/12/16,MAT,Upper,B,depth,31.4,0.571948998,0.527377522,0.301633045,80.09896143,,,,,,,
06/12/16,MAT,Upper,C,depth,47.4,0.461089494,0.987512008,0.455331412,62.73539592,,,,,,,
06/12/16,MAT,Upper,D,depth,41.9,0.410784314,0.979827089,0.402497599,63.02539287,,,,,,,
06/12/16,MAT,Middle,A,depth,40.2,0.578417266,0.667627282,0.386167147,74.80651766,,,,,,,
06/12/16,MAT,Middle,B,depth,38.7,0.46626506,0.797310279,0.371757925,69.91281966,,,,,,,
06/12/16,MAT,Middle,C,depth,44.2,0.462827225,0.917387128,0.424591739,65.38161781,,,,,,,
06/12/16,MAT,Middle,D,depth,37.4,0.447904192,0.802113353,0.359269933,69.73157158,,,,,,,
06/12/16,MAT,Lower,A,depth,37.5,0.694444444,0.518731989,0.360230548,80.42520796,,,,,,,
06/12/16,MAT,Lower,B,depth,35,0.501432665,0.670509126,0.336215178,74.69776883,,,,,,,
06/12/16,MAT,Lower,C,depth,37.9,0.486521181,0.748318924,0.364073007,71.76155004,,,,,,,
06/12/16,MAT,Lower,D,depth,43.1,0.505275498,0.819404419,0.414024976,69.07907853,,,,,,,
6/15/16,PAS,Upper,A,depth,41.6,0.431983385,0.925072046,0.399615754,65.09162091,,,,,,,
6/15/16,PAS,Upper,B,depth,33.3,0.372483222,0.858789625,0.319884726,67.59284434,,,,,,,
6/15/16,PAS,Upper,C,depth,27.8,0.38292011,0.69740634,0.267050913,73.68277962,,,,,,,
6/15/16,PAS,Upper,D,depth,42.7,0.422772277,0.970220941,0.410182517,63.38788902,,,,,,,
