Date,Site,Location,Point,Type,K (mm/hr),S (mm * hr^(-0.5)),,,,,,
06/04/16,MAT,Upper,A,spatial ,828.5142857,6.264,,Depth: ,MAT,PAS,,
06/04/16,MAT,Upper,B,spatial ,161.6914286,1.08E-12,,0,486,65.08542857,A,
06/04/16,MAT,Upper,C,spatial ,747.8228571,112.38,,,408.8571429,35.1,,
06/04/16,MAT,Upper,D,spatial ,27.08485714,16.272,,,38.88,18.32914286,,
06/04/16,MAT,Middle,A,spatial ,NaN,NaN,,,116.7942857,,,
06/04/16,MAT,Middle,B,spatial ,NaN,NaN,,,,,,
06/04/16,MAT,Middle,C,spatial ,97.74,8.208,,10,80.84571429,66.94457143,B,
06/04/16,MAT,Middle,D,spatial ,NaN,NaN,,,161.6914286,98.35714286,,134.7428572
06/04/16,MAT,Lower,A,spatial ,323.3828571,2.24E-11,,,161.6914286,,,
06/04/16,MAT,Lower,B,spatial ,86.78571429,27.69,,,,,,
06/04/16,MAT,Lower,C,spatial ,786.8571429,14.622,,,,,,
06/04/16,MAT,Lower,D,spatial ,323.3828571,8.99E-13,,30,86.94,0.739491429,C,
06/07/16,PAS,Upper,A,spatial ,424.9028571,52.506,,,157.0628571,,,
06/07/16,PAS,Upper,B,spatial ,NaN,NaN,,,156.9857143,,,
06/07/16,PAS,Upper,C,spatial ,323.3828571,3.96E-12,,,,,,
06/07/16,PAS,Upper,D,spatial ,280.7228571,23.676,,,,,,
06/07/16,PAS,Middle,A,spatial ,108.2314286,5.8704,,,,,,
06/07/16,PAS,Middle,B,spatial ,NaN,NaN,,,,,,
06/07/16,PAS,Middle,C,spatial ,733.4742857,27.69,,50,116.7942857,161.6914286,D,
06/07/16,PAS,Middle,D,spatial ,740.2628571,44.958,,,161.6914286,,,
06/07/16,PAS,Lower,A,spatial ,NaN,NaN,,,,,,
06/07/16,PAS,Lower,B,spatial ,1085.4,86.16,,,,,,
06/07/16,PAS,Lower,C,spatial ,54.90257143,39.666,,,,,,
06/07/16,PAS,Lower,D,spatial ,291.1371429,27.126,,,,,,
06/12/16,MAT,Upper,A,depth,486,6.00E-12,,,,,,
06/12/16,MAT,Upper,B,depth,80.84571429,2.45E-12,,,,,,
06/12/16,MAT,Upper,C,depth,NaN,NaN,,,,,,
06/12/16,MAT,Upper,D,depth,NaN,NaN,,,,,,
06/12/16,MAT,Middle,A,depth,408.8571429,7.56,,,,,,
06/12/16,MAT,Middle,B,depth,NaN,NaN,,,,,,
06/12/16,MAT,Middle,C,depth,86.94,6.456,,,,,,
06/12/16,MAT,Middle,D,depth,NaN,NaN,,,,,,
06/12/16,MAT,Lower,A,depth,NaN,NaN,,,,,,
06/12/16,MAT,Lower,B,depth,161.6914286,-3.19E-12,,,,,,
06/12/16,MAT,Lower,C,depth,157.0628571,21.39,,,,,,
06/12/16,MAT,Lower,D,depth,NaN,NaN,,,,,,
06/15/2016,PAS,Upper,A,depth,NaN,NaN,,,,,,
06/15/2016,PAS,Upper,B,depth,66.94457143,5.43,,,,,,
06/15/2016,PAS,Upper,C,depth,NaN,NaN,,,,,,
06/15/2016,PAS,Upper,D,depth,NaN,NaN,,,,,,
06/15/2016,PAS,Middle,A,depth,NaN,NaN,,,,,,
06/15/2016,PAS,Middle,B,depth,NaN,NaN,,,,,,
06/15/2016,PAS,Middle,C,depth,NaN,NaN,,,,,,
06/15/2016,PAS,Middle,D,depth,NaN,NaN,,,,,,
06/15/2016,PAS,Lower,A,depth,NaN,NaN,,,,,,
06/15/2016,PAS,Lower,B,depth,NaN,NaN,,,,,,
06/15/2016,PAS,Lower,C,depth,NaN,NaN,,,,,,
06/15/2016,PAS,Lower,D,depth,NaN,NaN,,,,,,
06/28/2016,PAS,Upper,A,spatial,NaN,NaN,,,,,,
06/28/2016,PAS,Upper,B,spatial,NaN,NaN,,,,,,
06/28/2016,PAS,Upper,C,spatial,209.7514286,44.772,,,,,,
06/28/2016,PAS,Upper,D,spatial,NaN,NaN,,,,,,
06/28/2016,PAS,Middle,A,spatial,NaN,NaN,,,,,,
06/28/2016,PAS,Middle,B,spatial,1665.514286,9.504,,,,,,
06/28/2016,PAS,Middle,C,spatial,NaN,NaN,,,,,,
06/28/2016,PAS,Middle,D,spatial,15.39771429,26.394,,,,,,
06/28/2016,PAS,Lower,A,spatial,NaN,NaN,,,,,,
06/28/2016,PAS,Lower,B,spatial,NaN,NaN,,,,,,
06/28/2016,PAS,Lower,C,spatial,114.2485714,15.03,,,,,,
06/28/2016,PAS,Lower,D,spatial,NaN,NaN,,,,,,
06/30/2016,MAT,Upper,A,spatial,209.7514286,44.772,,,,,,
06/30/2016,MAT,Upper,B,spatial,NaN,NaN,,,,,,
06/30/2016,MAT,Upper,C,spatial,568.62,80.22,,,,,,
06/30/2016,MAT,Upper,D,spatial,33.20228571,64.8,,,,,,
06/30/2016,MAT,Middle,A,spatial,NaN,NaN,,,,,,
06/30/2016,MAT,Middle,B,spatial,NaN,NaN,,,,,,
06/30/2016,MAT,Middle,C,spatial,283.8085714,247.56,,,,,,
06/30/2016,MAT,Middle,D,spatial,323.3828571,1.20E-11,,,,,,
06/30/2016,MAT,Lower,A,spatial,719.7428571,2.8566,,,,,,
06/30/2016,MAT,Lower,B,spatial,NaN,NaN,,,,,,
06/30/2016,MAT,Lower,C,spatial,639.0514286,21.342,,,,,,
06/30/2016,MAT,Lower,D,spatial,801.5142857,79.02,,,,,,
07/03/16,PAS,Upper,A,depth,65.08542857,14.184,,,,,,
07/03/16,PAS,Upper,B,depth,NaN,NaN,,,,,,
07/03/16,PAS,Upper,C,depth,NaN,NaN,,,,,,
07/03/16,PAS,Upper,D,depth,161.6914286,3.04E-10,,,,,,
07/06/16,MAT,Upper,A,depth,382.2428571,83.88,,,,,,
07/06/16,MAT,Upper,B,depth,161.6914286,1.22E-11,,,,,,
07/06/16,MAT,Upper,C,depth,NaN,NaN,,,,,,
07/06/16,MAT,Upper,D,depth,116.7942857,25.098,,,,,,
07/06/16,MAT,Middle,A,depth,38.88,44.37,,,,,,
07/06/16,MAT,Middle,B,depth,NaN,NaN,,,,,,
07/06/16,MAT,Middle,C,depth,NaN,NaN,,,,,,
07/06/16,MAT,Middle,D,depth,161.6914286,-3.88E-12,,,,,,
07/06/16,MAT,Lower,A,depth,116.7942857,25.098,,,,,,
07/06/16,MAT,Lower,B,depth,NaN,NaN,,,,,,
07/06/16,MAT,Lower,C,depth,156.9857143,29.178,,,,,,
07/06/16,MAT,Lower,D,depth,NaN,NaN,,,,,,
07/14/2016,MAT,Upper,A,spatial,2299.628571,29.034,,,,,,
07/14/2016,MAT,Upper,B,spatial,280.7228571,7.75E-13,,,,,,
07/14/2016,MAT,Upper,C,spatial,NaN,NaN,,,,,,
07/14/2016,MAT,Upper,D,spatial,36.78171429,56.376,,,,,,
07/14/2016,MAT,Middle,A,spatial,80.84571429,4.60E-13,,,,,,
07/14/2016,MAT,Middle,B,spatial,931.8857143,6.678,,,,,,
07/14/2016,MAT,Middle,C,spatial,123.5828571,84.06,,,,,,
07/14/2016,MAT,Middle,D,spatial,3119.657143,27.24,,,,,,
07/14/2016,MAT,Lower,A,spatial,1885.371429,112.92,,,,,,
07/14/2016,MAT,Lower,B,spatial,15615.96298,78,,,,,,
07/14/2016,MAT,Lower,C,spatial,1154.828571,108.36,,,,,,
07/14/2016,MAT,Lower,D,spatial,179.82,403.38,,,,,,
07/16/2016,PAS,Upper,A,depth,NaN,NaN,,,,,,
07/16/2016,PAS,Upper,B,depth,NaN,NaN,,,,,,
07/16/2016,PAS,Upper,C,depth,NaN,NaN,,,,,,
07/16/2016,PAS,Upper,D,depth,NaN,NaN,,,,,,
07/17/2016,PAS,Middle,A,depth,35.1,3.0306,,,,,,
07/17/2016,PAS,Middle,B,depth,NaN,NaN,,,,,,
07/17/2016,PAS,Middle,C,depth,0.739491429,32.682,,,,,,
07/17/2016,PAS,Middle,D,depth,NaN,NaN,,,,,,
07/17/2016,PAS,Lower,A,depth,18.32914286,51.426,,,,,,
07/17/2016,PAS,Lower,B,depth,98.35714286,31.35,,,,,,
07/17/2016,PAS,Lower,C,depth,NaN,NaN,,,,,,
07/17/2016,PAS,Lower,D,depth,NaN,NaN,,,,,,
07/19/2016,MAT,Upper,A,spatial,505.0542857,84,,,,,,
07/19/2016,MAT,Upper,B,spatial,161.6914286,3.84E-12,,,,,,
07/19/2016,MAT,Upper,C,spatial,1390.114286,21.408,,,,,,
07/19/2016,MAT,Upper,D,spatial,830.0571429,75.72,,,,,,
07/19/2016,MAT,Middle,A,spatial,161.6914286,3.83E-13,,,,,,
07/19/2016,MAT,Middle,B,spatial,818.4857143,51.444,,,,,,
07/19/2016,MAT,Middle,C,spatial,41.01685714,16.41,,,,,,
07/19/2016,MAT,Middle,D,spatial,485.0742857,6.86E-12,,,,,,
07/19/2016,MAT,Lower,A,spatial,1353.857143,96.48,,,,,,
07/19/2016,MAT,Lower,B,spatial,673.4571429,11.532,,,,,,
07/19/2016,MAT,Lower,C,spatial,833.1428571,34.95,,,,,,
07/19/2016,MAT,Lower,D,spatial,1616.914286,9.16E-13,,,,,,
07/21/2016,PAS,Upper,A,spatial ,31.69028571,5.85,,,,,,
07/21/2016,PAS,Upper,B,spatial ,19.19314286,12.366,,,,,,
07/21/2016,PAS,Upper,C,spatial ,108.0771429,13.362,,,,,,
07/21/2016,PAS,Upper,D,spatial ,NaN,NaN,,,,,,
07/21/2016,PAS,Middle,A,spatial ,35.1,3.0306,,,,,,
07/21/2016,PAS,Middle,B,spatial ,141.7114286,12.45,,,,,,
07/21/2016,PAS,Middle,C,spatial ,0.736714286,16.962,,,,,,
07/21/2016,PAS,Middle,D,spatial ,NaN,NaN,,,,,,
07/21/2016,PAS,Lower,A,spatial ,100.5171429,0.56826,,,,,,
07/21/2016,PAS,Lower,B,spatial ,NaN,NaN,,,,,,
07/21/2016,PAS,Lower,C,spatial ,40.07571429,15.912,,,,,,
07/21/2016,PAS,Lower,D,spatial ,72.99257143,2.8566,,,,,,
07/24/2016,MAT,Upper,A,spatial,NaN,NaN,,,,,,
07/24/2016,MAT,Upper,B,spatial,431.5371429,27.156,,,,,,
07/24/2016,MAT,Upper,C,spatial,430.3028571,34.272,,,,,,
07/24/2016,MAT,Upper,D,spatial,372.1371429,34.368,,,,,,
07/24/2016,MAT,Middle,A,spatial,NaN,NaN,,,,,,
07/24/2016,MAT,Middle,B,spatial,113.2457143,5.0532,,,,,,
07/24/2016,MAT,Middle,C,spatial,491.8628571,24.732,,,,,,
07/24/2016,MAT,Middle,D,spatial,592.7657143,8.124,,,,,,
07/24/2016,MAT,Lower,A,spatial,692.6657143,64.2,,,,,,
07/24/2016,MAT,Lower,B,spatial,1174.885714,46.908,,,,,,
07/24/2016,MAT,Lower,C,spatial,NaN,NaN,,,,,,
07/24/2016,MAT,Lower,D,spatial,NaN,NaN,,,,,,
