TOA5,Formula: _ = 4.94_10_4 _mV _0.554,,,,,,,,,,,
TIMESTAMP,T1,T2,T3,T4,M1,M2,M3,M4,B1,B2,B3,B4
TS,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
23/05/16 10:15,35.89%,46.02%,44.09%,#VALUE!,28.78%,#VALUE!,47.70%,47.99%,37.52%,59.75%,#VALUE!,#VALUE!
23/05/16 10:30,35.84%,45.97%,44.04%,#VALUE!,28.78%,#VALUE!,47.70%,47.99%,37.52%,59.80%,#VALUE!,#VALUE!
23/05/16 10:45,35.74%,45.97%,44.04%,#VALUE!,28.88%,#VALUE!,47.70%,47.99%,37.52%,59.80%,#VALUE!,#VALUE!
23/05/16 11:00,35.69%,45.97%,44.04%,#VALUE!,28.83%,#VALUE!,47.70%,47.99%,37.52%,59.80%,#VALUE!,#VALUE!
23/05/16 11:15,35.59%,45.97%,44.04%,#VALUE!,28.88%,#VALUE!,47.65%,47.99%,37.47%,59.80%,#VALUE!,#VALUE!
23/05/16 11:30,35.50%,45.92%,44.04%,#VALUE!,28.78%,#VALUE!,47.65%,47.99%,37.42%,59.80%,#VALUE!,#VALUE!
23/05/16 11:45,35.45%,45.92%,43.99%,#VALUE!,28.78%,#VALUE!,47.70%,47.99%,37.42%,59.80%,#VALUE!,#VALUE!
23/05/16 12:00,35.35%,45.92%,44.04%,#VALUE!,28.78%,#VALUE!,47.65%,47.99%,37.42%,59.80%,#VALUE!,#VALUE!
23/05/16 12:15,35.25%,45.92%,43.99%,#VALUE!,28.78%,#VALUE!,47.65%,47.99%,37.37%,59.80%,#VALUE!,#VALUE!
23/05/16 12:30,35.15%,45.87%,43.99%,#VALUE!,28.73%,#VALUE!,47.65%,47.99%,37.32%,59.80%,#VALUE!,#VALUE!
23/05/16 12:45,35.05%,45.92%,43.94%,#VALUE!,28.73%,#VALUE!,47.65%,47.99%,37.32%,59.80%,#VALUE!,#VALUE!
23/05/16 13:00,34.95%,45.87%,43.94%,#VALUE!,28.68%,#VALUE!,47.65%,47.99%,37.32%,59.85%,#VALUE!,#VALUE!
23/05/16 13:15,34.80%,45.87%,43.94%,#VALUE!,28.68%,#VALUE!,47.65%,47.99%,37.27%,59.85%,#VALUE!,#VALUE!
23/05/16 13:30,34.71%,45.87%,43.94%,#VALUE!,28.63%,#VALUE!,47.60%,47.99%,37.23%,59.85%,#VALUE!,#VALUE!
23/05/16 13:45,34.61%,45.87%,43.94%,#VALUE!,28.63%,#VALUE!,47.60%,47.99%,37.23%,59.85%,#VALUE!,#VALUE!
23/05/16 14:00,34.46%,45.82%,43.94%,#VALUE!,28.58%,#VALUE!,47.60%,47.99%,37.23%,59.85%,#VALUE!,#VALUE!
23/05/16 14:15,34.36%,45.77%,43.94%,#VALUE!,28.58%,#VALUE!,47.60%,47.99%,37.18%,59.85%,#VALUE!,#VALUE!
23/05/16 14:30,34.26%,45.82%,43.89%,#VALUE!,28.58%,#VALUE!,47.60%,47.99%,37.18%,59.80%,#VALUE!,#VALUE!
23/05/16 14:45,34.16%,45.77%,43.89%,#VALUE!,28.53%,#VALUE!,47.60%,47.99%,37.18%,59.85%,#VALUE!,#VALUE!
23/05/16 15:00,34.01%,45.77%,43.89%,#VALUE!,28.53%,#VALUE!,47.60%,47.99%,37.13%,59.85%,#VALUE!,#VALUE!
23/05/16 15:15,33.87%,45.77%,43.89%,#VALUE!,28.48%,#VALUE!,47.60%,47.99%,37.13%,59.85%,#VALUE!,#VALUE!
23/05/16 15:30,33.72%,45.67%,43.84%,#VALUE!,28.93%,#VALUE!,47.65%,47.94%,37.13%,59.65%,#VALUE!,#VALUE!
23/05/16 15:45,33.77%,45.57%,43.80%,#VALUE!,29.91%,#VALUE!,47.85%,47.90%,37.62%,58.81%,#VALUE!,#VALUE!
23/05/16 16:00,33.96%,45.57%,43.80%,#VALUE!,29.91%,#VALUE!,47.85%,47.85%,37.52%,58.96%,#VALUE!,#VALUE!
23/05/16 16:15,34.11%,45.52%,43.70%,#VALUE!,29.86%,#VALUE!,47.85%,47.85%,37.57%,58.96%,#VALUE!,#VALUE!
23/05/16 16:30,34.21%,45.52%,43.60%,#VALUE!,29.77%,#VALUE!,47.85%,47.85%,37.57%,59.01%,#VALUE!,#VALUE!
23/05/16 16:45,34.36%,45.52%,43.55%,#VALUE!,29.77%,#VALUE!,47.85%,47.85%,37.67%,59.01%,#VALUE!,#VALUE!
23/05/16 17:00,34.51%,45.57%,43.55%,#VALUE!,29.72%,#VALUE!,47.85%,47.85%,37.77%,59.01%,#VALUE!,#VALUE!
23/05/16 17:15,34.56%,45.52%,43.60%,#VALUE!,29.72%,#VALUE!,47.85%,47.80%,37.82%,59.06%,#VALUE!,#VALUE!
23/05/16 17:30,34.66%,45.47%,43.60%,#VALUE!,29.67%,#VALUE!,47.85%,47.80%,37.92%,59.06%,#VALUE!,#VALUE!
23/05/16 17:45,34.71%,45.52%,43.60%,#VALUE!,29.67%,#VALUE!,47.80%,47.80%,38.02%,59.06%,#VALUE!,#VALUE!
23/05/16 18:00,34.76%,45.52%,43.60%,#VALUE!,29.62%,#VALUE!,47.85%,47.80%,38.11%,59.11%,#VALUE!,#VALUE!
