TIMESTAMP,T1,T2,T3,T4,M1,M2,M3,M4,B1,B2,B3,B4
TOA5,Formula: _ = 4.94_10_4 _mV _0.554,,,,,,,,,,,
,,,,,,,,,,,,
TS,,,,,,,,,,,,
TIMESTAMP,T1,T2,T3,T4,M1,M2,M3,M4,B1,B2,B3,B4
21/03/16 10:45,10.50%,27.15%,41.52%,46.27%,10.80%,25.96%,39.35%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 11:00,10.50%,27.35%,41.47%,46.27%,10.85%,25.96%,39.35%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 11:15,10.50%,26.95%,41.47%,46.31%,10.89%,25.96%,39.40%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 11:30,10.55%,26.95%,41.47%,46.27%,10.89%,25.96%,39.40%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 11:45,10.55%,27.10%,41.52%,46.31%,10.94%,25.96%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 12:00,10.40%,26.85%,41.47%,46.31%,10.94%,25.96%,39.40%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 12:15,10.45%,26.95%,41.57%,46.31%,10.99%,25.96%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 12:30,10.55%,27.15%,41.57%,46.27%,10.99%,25.91%,39.35%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 12:45,10.50%,27.30%,41.57%,46.27%,10.99%,25.96%,39.35%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 13:00,10.50%,27.79%,41.52%,46.31%,10.99%,25.96%,39.40%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 13:15,10.55%,27.25%,41.57%,46.31%,10.99%,25.96%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 13:30,10.50%,26.95%,41.42%,46.31%,11.04%,25.96%,39.35%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 13:45,10.50%,27.20%,41.42%,46.31%,10.99%,25.96%,39.35%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 14:00,10.55%,27.39%,41.52%,46.27%,11.09%,25.96%,39.40%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 14:15,10.60%,27.39%,41.52%,46.27%,11.09%,25.96%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 14:30,10.55%,27.20%,41.67%,46.27%,11.09%,25.91%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 14:45,10.60%,27.10%,41.67%,46.31%,11.09%,25.96%,39.35%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 15:00,10.55%,27.44%,41.62%,46.31%,11.14%,25.91%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 15:15,10.60%,27.35%,41.57%,46.31%,11.09%,25.96%,39.40%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 15:30,10.60%,27.25%,41.57%,46.31%,11.14%,25.96%,39.35%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 15:45,10.55%,27.59%,41.57%,46.31%,11.09%,25.96%,39.40%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 16:00,10.60%,27.49%,41.52%,46.31%,11.09%,25.96%,39.35%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 16:15,10.60%,27.64%,41.57%,46.31%,11.14%,25.96%,39.40%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 16:30,10.60%,27.25%,41.62%,46.27%,11.14%,25.96%,39.40%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 16:45,10.60%,26.90%,41.62%,46.31%,11.19%,25.96%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 17:00,10.60%,27.15%,41.62%,46.31%,11.14%,25.96%,39.35%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 17:15,10.60%,27.20%,41.52%,46.27%,11.19%,25.91%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 17:30,10.60%,27.30%,41.47%,46.27%,11.19%,25.96%,39.40%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 17:45,10.60%,27.69%,41.67%,46.27%,11.19%,25.96%,39.40%,41.57%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 18:00,10.50%,27.25%,41.52%,46.31%,11.14%,25.96%,39.40%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 18:15,10.60%,27.00%,41.33%,46.31%,11.19%,25.91%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 18:30,10.55%,27.59%,41.28%,46.27%,11.19%,25.96%,39.40%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 18:45,10.50%,27.69%,41.23%,46.27%,11.14%,25.91%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 19:00,10.50%,27.39%,41.23%,46.27%,11.14%,25.96%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 19:15,10.40%,27.54%,41.13%,46.27%,11.09%,25.96%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 19:30,10.40%,27.64%,41.13%,46.27%,11.09%,25.96%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 19:45,10.45%,27.35%,41.18%,46.27%,11.09%,25.96%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 20:00,10.45%,27.54%,41.18%,46.27%,11.09%,25.96%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 20:15,10.40%,27.25%,41.18%,46.27%,11.09%,25.96%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 20:30,10.40%,27.25%,41.13%,46.27%,11.09%,25.91%,39.35%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
21/03/16 20:45,10.40%,27.25%,41.18%,46.27%,11.09%,25.96%,39.30%,41.52%,#VALUE!,#VALUE!,#VALUE!,#VALUE!
