"TOA5","3755","CR1000","3755","CR1000.Std.27.04","CPU:AS_pasture_withTE525.CR1","16815","SM_Raw"
"TIMESTAMP","RECORD","SEVolt","SEVolt(2)","SEVolt(3)","SEVolt(4)","SEVolt(5)","SEVolt(6)","SEVolt(7)","SEVolt(8)","SEVolt(9)","SEVolt(10)","SEVolt(11)","SEVolt(12)"
"TS","RN","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2016-03-21 10:40:00",0,1334,1666,1963,2058,1340,1647,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 10:45:00",1,1333,1675,1961,2057,1340,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 10:50:00",2,1334,1680,1961,2058,1340,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 10:55:00",3,1335,1672,1961,2058,1341,1647,1919,1962,NAN,NAN,NAN,NAN
"2016-03-21 11:00:00",4,1334,1674,1961,2058,1342,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 11:05:00",5,1334,1667,1960,2058,1341,1648,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 11:10:00",6,1334,1670,1962,2059,1342,1647,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 11:15:00",7,1335,1665,1961,2059,1342,1646,1920,1963,NAN,NAN,NAN,NAN
"2016-03-21 11:20:00",8,1336,1664,1961,2058,1341,1646,1919,1962,NAN,NAN,NAN,NAN
"2016-03-21 11:25:00",9,1335,1668,1960,2057,1342,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 11:30:00",10,1335,1668,1963,2058,1342,1647,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 11:35:00",11,1335,1669,1961,2059,1342,1647,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 11:40:00",12,1334,1675,1960,2058,1343,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 11:45:00",13,1334,1666,1964,2058,1343,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 11:50:00",14,1332,1663,1962,2059,1342,1647,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 11:55:00",15,1332,1663,1961,2058,1343,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 12:00:00",16,1332,1668,1962,2059,1343,1647,1919,1962,NAN,NAN,NAN,NAN
"2016-03-21 12:05:00",17,1333,1665,1962,2059,1343,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 12:10:00",18,1333,1669,1963,2058,1344,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 12:15:00",19,1333,1668,1963,2059,1344,1647,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 12:20:00",20,1335,1665,1962,2059,1344,1646,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 12:25:00",21,1335,1680,1963,2058,1344,1646,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 12:30:00",22,1335,1668,1963,2058,1345,1646,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 12:35:00",23,1334,1667,1963,2059,1345,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 12:40:00",24,1335,1681,1963,2058,1344,1648,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 12:45:00",25,1335,1674,1962,2058,1344,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 12:50:00",26,1333,1681,1962,2058,1344,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 12:55:00",27,1334,1684,1962,2058,1343,1648,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 13:00:00",28,1334,1686,1961,2059,1345,1647,1919,1962,NAN,NAN,NAN,NAN
"2016-03-21 13:05:00",29,1335,1681,1962,2059,1343,1648,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 13:10:00",30,1334,1668,1962,2058,1345,1647,1919,1962,NAN,NAN,NAN,NAN
"2016-03-21 13:15:00",31,1336,1670,1965,2059,1344,1647,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 13:20:00",32,1333,1667,1960,2057,1345,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 13:25:00",33,1334,1667,1960,2059,1345,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 13:30:00",34,1334,1667,1960,2059,1343,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 13:35:00",35,1334,1668,1960,2059,1344,1647,1917,1963,NAN,NAN,NAN,NAN
"2016-03-21 13:40:00",36,1334,1669,1960,2059,1344,1646,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 13:45:00",37,1334,1680,1960,2058,1345,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 13:50:00",38,1334,1682,1961,2057,1346,1646,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 13:55:00",39,1335,1679,1962,2058,1346,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 14:00:00",40,1335,1668,1962,2059,1346,1646,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 14:05:00",41,1337,1679,1962,2059,1345,1648,1919,1962,NAN,NAN,NAN,NAN
"2016-03-21 14:10:00",42,1335,1682,1961,2058,1345,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 14:15:00",43,1336,1666,1963,2059,1346,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 14:20:00",44,1335,1683,1965,2059,1346,1646,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 14:25:00",45,1334,1664,1964,2058,1347,1646,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 14:30:00",46,1335,1669,1966,2057,1346,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 14:35:00",47,1335,1667,1965,2059,1346,1646,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 14:40:00",48,1335,1671,1966,2058,1346,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 14:45:00",49,1336,1671,1965,2060,1347,1647,1919,1962,NAN,NAN,NAN,NAN
"2016-03-21 14:50:00",50,1334,1674,1965,2059,1347,1647,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 14:55:00",51,1336,1676,1965,2058,1346,1646,1917,1962,NAN,NAN,NAN,NAN
"2016-03-21 15:00:00",52,1336,1683,1963,2058,1346,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 15:05:00",53,1336,1682,1963,2059,1347,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 15:10:00",54,1336,1675,1963,2058,1346,1647,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 15:15:00",55,1336,1667,1963,2059,1346,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 15:20:00",56,1335,1669,1962,2060,1347,1647,1917,1963,NAN,NAN,NAN,NAN
"2016-03-21 15:25:00",57,1336,1681,1963,2059,1348,1647,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 15:30:00",58,1336,1669,1962,2058,1346,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 15:35:00",59,1336,1681,1963,2059,1347,1647,1918,1962,NAN,NAN,NAN,NAN
"2016-03-21 15:40:00",60,1335,1675,1964,2059,1347,1646,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 15:45:00",61,1335,1682,1964,2059,1346,1647,1919,1962,NAN,NAN,NAN,NAN
"2016-03-21 15:50:00",62,1336,1675,1962,2059,1346,1647,1918,1963,NAN,NAN,NAN,NAN
"2016-03-21 15:55:00",63,1336,1682,1963,2059,1346,1647,1919,1963,NAN,NAN,NAN,NAN
"2016-03-21 16:00:00",64,1335,1678,1961,2059,1346,1648,1917,1962,NAN,NAN,NAN,NAN
