TOA5,3755,CR1000,3755,CR1000.Std.27.04,CPU:AS_pasture_withTE525.CR1,16815,SM_Raw,,,,,,
TIMESTAMP,RECORD,SEVolt,SEVolt(2),SEVolt(3),SEVolt(4),SEVolt(5),SEVolt(6),SEVolt(7),SEVolt(8),SEVolt(9),SEVolt(10),SEVolt(11),SEVolt(12)
TS,RN,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV,mV
,,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp,Smp
21/03/16 10:40,0,1334,1666,1963,2058,1340,1647,1919,1963,NAN,NAN,NAN,NAN
21/03/16 10:45,1,1333,1675,1961,2057,1340,1647,1918,1962,NAN,NAN,NAN,NAN
21/03/16 10:50,2,1334,1680,1961,2058,1340,1647,1918,1963,NAN,NAN,NAN,NAN
21/03/16 10:55,3,1335,1672,1961,2058,1341,1647,1919,1962,NAN,NAN,NAN,NAN
21/03/16 11:00,4,1334,1674,1961,2058,1342,1647,1918,1963,NAN,NAN,NAN,NAN
21/03/16 11:05,5,1334,1667,1960,2058,1341,1648,1918,1963,NAN,NAN,NAN,NAN
21/03/16 11:10,6,1334,1670,1962,2059,1342,1647,1919,1963,NAN,NAN,NAN,NAN
21/03/16 11:15,7,1335,1665,1961,2059,1342,1646,1920,1963,NAN,NAN,NAN,NAN
21/03/16 11:20,8,1336,1664,1961,2058,1341,1646,1919,1962,NAN,NAN,NAN,NAN
21/03/16 11:25,9,1335,1668,1960,2057,1342,1647,1918,1962,NAN,NAN,NAN,NAN
21/03/16 11:30,10,1335,1668,1963,2058,1342,1647,1919,1963,NAN,NAN,NAN,NAN
21/03/16 11:35,11,1335,1669,1961,2059,1342,1647,1919,1963,NAN,NAN,NAN,NAN
21/03/16 11:40,12,1334,1675,1960,2058,1343,1647,1918,1962,NAN,NAN,NAN,NAN
21/03/16 11:45,13,1334,1666,1964,2058,1343,1647,1918,1962,NAN,NAN,NAN,NAN
21/03/16 11:50,14,1332,1663,1962,2059,1342,1647,1919,1963,NAN,NAN,NAN,NAN
21/03/16 11:55,15,1332,1663,1961,2058,1343,1647,1918,1963,NAN,NAN,NAN,NAN
21/03/16 12:00,16,1332,1668,1962,2059,1343,1647,1919,1962,NAN,NAN,NAN,NAN
